exposure_category,YEAR,prime,young,young_share
High,2022,183578013.0757,34781416.8755,0.15928516063296702
High,2023,185876475.7404,36029993.6188,0.16236567470450017
High,2024,186345603.5359,35434458.8056,0.15977296800934945
High,2025,176333301.946,32667385.1288,0.15630276429238987
High,2026,127192977.9011,23615405.0183,0.15659212413225945
Low (non-zero),2022,176522941.8753,36357965.4333,0.17079016569858074
Low (non-zero),2023,185054827.2038,37741289.8484,0.16939832860532936
Low (non-zero),2024,184799341.2837,35404898.4115,0.16078209239071137
Low (non-zero),2025,170844972.7563,33942640.5752,0.16574557427091716
Low (non-zero),2026,121569682.8521,24710948.1843,0.16892836740737746
Medium,2022,206839147.2625,24245213.4247,0.10491931757129494
Medium,2023,209922609.7188,25416048.1274,0.10799776101387497
Medium,2024,215733017.4319,25960632.4207,0.1074113136051875
Medium,2025,200307751.9983,23917046.7063,0.10666548412340862
Medium,2026,146952931.3949,17328560.6325,0.10548090608776443
No observed AI use,2022,215357546.4756,52913108.5237,0.19723778034477182
No observed AI use,2023,214851000.2018,58458064.5812,0.21388995870888558
No observed AI use,2024,217345163.5624,57686361.0203,0.20974454149511185
No observed AI use,2025,201315761.798,52766913.5324,0.2076761568406181
No observed AI use,2026,142396963.0225,39273699.343,0.21618074614593488
